id_anon,sex2,age_class2,age2,bout,subbout,direction,risk,above4,above10
1,M,A,19,3,3.01,descent,0,0,0
1,M,A,19,3,3.02,descent,1,0,0
2,M,A,25,4,4.01,descent,0,0,0
2,M,A,25,4,4.02,descent,0,0,0
2,M,A,25,4,4.03,descent,0,0,0
2,M,A,25,4,4.04,descent,0,0,0
3,F,A,20,5,5.01,descent,0,0,0
4,M,A,48,6,6.01,descent,0,0,0
4,M,A,48,6,6.02,descent,0,0,0
5,M,A,17,7,7.01,descent,0,0,0
5,M,A,17,7,7.02,descent,0,0,0
5,M,A,17,7,7.03,descent,0,0,0
6,M,A,36,8,8.01,descent,0,0,0
6,M,A,36,8,8.02,descent,0,0,0
6,M,A,36,8,8.03,descent,0,0,0
6,M,A,36,8,8.04,descent,0,0,0
6,M,A,36,8,8.05,descent,1,0,0
7,M,A,30,11,11.01,descent,0,1,0
3,F,A,20,12,12.01,descent,0,0,0
8,M,A,31,13,13.01,descent,0,0,0
8,M,A,31,13,13.02,descent,0,0,0
8,M,A,31,13,13.03,descent,0,0,0
9,M,A,20,14,14.01,descent,0,0,0
10,M,A,26,15,15.01,descent,0,1,0
10,M,A,26,15,15.02,descent,0,1,0
10,M,A,26,15,15.03,descent,1,1,0
11,M,Adol,13,16,16.01,descent,0,0,0
11,M,Adol,13,16,16.02,descent,0,0,0
3,F,A,20,17,17.01,descent,0,1,0
3,F,A,20,17,17.03,descent,0,0,0
3,F,A,20,17,17.05,descent,0,0,0
3,F,A,20,17,17.07,descent,0,0,0
3,F,A,20,17,17.08,descent,0,0,0
3,F,A,20,17,17.09,descent,1,0,0
2,M,A,25,19,19.01,descent,0,0,0
12,M,A,23,20,20.01,descent,0,0,0
13,M,A,31,21,21.01,descent,0,0,0
13,M,A,31,21,21.02,descent,0,0,0
14,F,Adol,11,22,22.01,descent,0,1,1
14,F,Adol,11,22,22.02,descent,0,1,1
14,F,Adol,11,22,22.03,descent,0,1,1
14,F,Adol,11,22,22.04,descent,0,1,1
14,F,Adol,11,22,22.05,descent,0,1,1
14,F,Adol,11,22,22.06,descent,0,1,1
14,F,Adol,11,22,22.07,descent,0,1,1
14,F,Adol,11,22,22.08,descent,0,1,1
14,F,Adol,11,22,22.1,descent,0,1,0
14,F,Adol,11,22,22.11,descent,0,1,0
15,F,A,43,23,23.01,descent,1,0,0
15,F,A,43,23,23.02,descent,1,0,0
7,M,A,30,26,26.01,descent,0,1,0
7,M,A,30,26,26.02,descent,0,0,0
16,M,Adol,14,27,27.01,descent,0,0,0
16,M,Adol,14,27,27.03,descent,0,0,0
4,M,A,48,29,29.01,descent,0,0,0
4,M,A,48,29,29.02,descent,0,0,0
4,M,A,48,29,29.03,descent,0,0,0
17,M,A,15,30,30.01,descent,0,1,0
18,M,A,18,35,35.01,descent,0,1,1
10,M,A,26,36,36.01,descent,0,0,0
11,M,Adol,13.1,37,37.01,descent,0,1,0
11,M,Adol,13.1,37,37.02,descent,0,0,0
11,M,Adol,13.1,37,37.04,descent,0,0,0
11,M,Adol,13.1,37,37.05,descent,0,0,0
19,M,A,29,38,38.01,descent,0,1,0
19,M,A,29,38,38.02,descent,0,0,0
9,M,A,20,39,39.01,descent,0,0,0
9,M,A,20,39,39.02,descent,0,0,0
20,M,J,6.8,40,40.01,descent,0,0,0
20,M,J,6.8,40,40.02,descent,0,0,0
20,M,J,6.8,40,40.03,descent,0,0,0
11,M,Adol,13.1,41,41.01,descent,0,0,0
21,M,Adol,11.7,42,42.01,descent,0,1,0
21,M,Adol,11.7,42,42.02,descent,1,1,0
16,M,Adol,14,45,45.01,descent,0,0,0
16,M,Adol,14,45,45.02,descent,0,0,0
22,M,A,27,46,46.01,descent,0,0,0
9,M,A,20,47,47.01,descent,0,1,0
9,M,A,20,47,47.02,descent,0,0,0
9,M,A,20,47,47.03,descent,1,0,0
7,M,A,30,49,49.01,descent,1,1,1
7,M,A,30,49,49.02,descent,0,1,1
4,M,A,48,50,50.01,descent,0,1,1
23,M,A,35,51,51.01,descent,0,1,0
19,M,A,29,52,52.01,descent,0,1,0
24,M,A,23,53,53.01,descent,0,1,1
24,M,A,23,53,53.02,descent,0,1,1
24,M,A,23,53,53.03,descent,0,1,0
